Universe,Volume (cm³)
1,7439.776
2,4484.960
3,2341.776
4,1569.184
5,110.912
6,251.056
7,1307.840
8,319.856
9,28.992
10,60.816
11,14.368
12,761.536
13,55.600
14,18.656
15,9.104
16,24.432
17,247.008
18,107.840
19,412.064
20,25273.904
21,27919.088
22,1.024
23,0.144
24,19.840
25,97.360
26,4.208
27,1781.440
28,75.568
29,498.272
30,39.136
255,188028.240
