Universe,Volume (cm³)
1,7442.736
2,4483.136
3,2340.680
4,1570.528
5,109.848
6,251.856
7,1308.208
8,320.112
9,29.032
10,61.192
11,14.328
12,761.856
13,55.760
14,18.776
15,9.008
16,24.544
17,247.528
18,108.032
19,412.208
20,25273.920
21,27912.560
22,1.056
23,0.184
24,19.728
25,97.328
26,4.360
27,1784.688
28,75.296
29,497.984
30,38.920
255,188028.608
